Carimbo de data/hora,Matrícula,Idade,Coeficiente de Rendimento,Período Vigente,Altura,Faz estágio?,Quantos livros você lê por ano?,Cidade que Reside,Linguagem de Programação Preferida?,Série Favorita,Time de Futebol,Android ou iOS?
2019/11/08 9:11:32 AM GMT-3,19110337,18,8.29,2,1.66,Não,2,serra,java,star trek discovery,Flamengo,Android
2019/11/08 10:20:19 AM GMT-3,19110620,19,9.11,1º,1.75,Não,0,Marechal Floriano,JavaScript,the walking dead,nenhum,Android
2019/11/08 11:45:11 AM GMT-3,16210303,24,6.84,4°,1.73,Não,7,Vila Velha,JavaScript,Dark,São Paulo,Android
2019/11/08 11:45:17 AM GMT-3,18210383,22,6.25,2,1.75,Não,4,Serra ,Java ,Game of thrones,Fluminense ,iOS
2019/11/08 2:01:25 PM GMT-3,19110267,19,9.2,2° Período,1.79,Sim,8,Cariacica,Python,Vikings,Corinthians,Android
2019/11/08 2:05:50 PM GMT-3,19110124,20,7.90,2,1.73,Sim,0,Viana,Python,Nenhuma,Nenhum,Android
2019/11/08 3:03:22 PM GMT-3,19110133,25,8.01,1,1.71,Não,3,Cariacica,Python,Nenhuma,Flamengo,Android
2019/11/08 3:13:43 PM GMT-3,19110278,19,5.17,1,1.73,Não,2,Cariacica,Python,Brooklyn nine nine,Vasco,Android
2019/11/08 4:59:29 PM GMT-3,19110003,39,9.19,2,1.75,Não,10,Vitória,Python,Não tenho,Não tenho,Android
2019/11/09 4:37:28 PM GMT-3,19110597,18 ,7,2,1.68,Não,1,vitória,java,CSI: 7Crime Scene Investigation ,vasco,android
2019/11/10 6:15:27 PM GMT-3,19210065,22,6.59,2,1.73',Sim,1,Vila Velha,Java,Elite,Flamengo,iOS
2019/11/11 4:00:31 PM GMT-3,19110560,19,7.02,2 ,1.80,Não,2,Vila velha ,Java,Supernatural,Vasco Android,Android
2019/11/11 5:45:34 PM GMT-3,19110422,22,7.73,1° período ,1.70 cm,Não,2,Vila velha,Java,The Mentalist,Flamengo,Android
2019/11/11 6:21:38 PM GMT-3,19110574,19,8.18,Segundo,1.80,Não,1,Vitória,Java,Não tenho,São Paulo,Android
2019/11/11 6:53:41 PM GMT-3,19110056,18,9.47,2º,1.79,Sim,2 ,Marechal FLoriano,Node.js,Game of Thrones,Flamengo,Android
2019/11/11 6:55:44 PM GMT-3,19110272,18,7.66,2,1.72,Não,2,aracruz,nenhuma favorita,nenhuma favorita,não tenho,android
2019/11/11 7:00:18 PM GMT-3,19110170,22,6.83,02,1.82,Sim,3,Vitoria,Python,The Good Place,Flamengo ,IOs
2019/11/11 7:03:05 PM GMT-3,19110512,20,8.93,2º Período,1.85 m,Sim,5,Vitória,Python,Black Sails,Nenhum,Android
2019/11/11 7:07:48 PM GMT-3,19110383,19,5.43,2,1.87,Não,0,VITORIA,PHP,Nenhuma,Vasco,iOS
2019/11/11 7:12:29 PM GMT-3,19110368,21,9.38,7,1.87,Sim,3,serra,java,game of thrones,flamengo,android
2019/11/11 7:12:42 PM GMT-3,19110180,19,8.3,2,1.80,Não,24,Vitória,Python,Cowboy Beebop,Nenhum,Android
2019/11/11 7:13:57 PM GMT-3,19110526,31,9.65,segundo,1.83,Não,0,vitória,javascript,game of thrones,flamengo,android
2019/11/11 7:17:12 PM GMT-3,19110001,26,7.58,2,1.83,Sim,0,Vitória,php,the big bang theory,flamengo,android
2019/11/11 7:21:32 PM GMT-3,19110120,21,8.53,2,1.75,Sim,0,Vila velha,java,O atirador,Flamengo,Android
2019/11/11 7:22:22 PM GMT-3,19110140,24,6.96,2,1.83,Não,7,Vitória,Javascript,The walking dead,Flamengo,Android
2019/11/11 7:29:44 PM GMT-3,19110566,18,9,25,2,1.71,Não,4,Serra,Java,The big bang theory,Sport,Android
2019/11/11 8:04:12 PM GMT-3,19110361,18,9.38,2,1.65,Não,5,Vitória,C#,BREAKING BAD,Nenhum,Android
2019/11/11 8:05:00 PM GMT-3,19110125,20,7.17,2,1.84,Não,3,Vila Velha,Java,não tenho,Flamengo,IOS
2019/11/13 12:31:49 PM GMT-3,18110288,20,2.92,2,1.78,Não,0,Vitória,Java,Breaking Bad,Fluminense,iOS
2019/11/16 4:12:43 PM GMT-3,19110577,21,6.5,2,1.85,Sim,6,vitoria,node.js,breaking bad,flamengo,ios
